Frame                 Size      Luma    C_B     RedPx   Teal    Blue    Gold    BotR    BotC    WhtAnn  
day2_silver_0081.jpg  38894     21.5    20.4    77      81      4       0       19      4       79      
day2_silver_0082.jpg  39159     21.4    20.2    80      84      4       0       18      4       78      
day2_silver_0083.jpg  38874     21.2    20.0    80      82      4       0       18      4       79      
day2_silver_0084.jpg  37028     21.3    20.1    83      83      4       0       18      4       69      
day2_silver_0085.jpg  37000     21.3    20.1    84      83      3       0       18      4       69      
day2_silver_0086.jpg  38810     22.7    21.6    78      78      3       0       15      4       78      
day2_silver_0087.jpg  39034     21.3    20.1    82      83      3       0       15      4       80      
day2_silver_0088.jpg  39600     21.5    20.3    76      83      3       0       15      4       80      
day2_silver_0089.jpg  39453     21.6    20.4    70      83      3       0       15      4       78      
day2_silver_0090.jpg  39565     21.5    20.4    73      84      3       0       17      4       79      
day2_silver_0091.jpg  39989     23.1    22.0    78      83      3       0       18      4       82      
day2_silver_0092.jpg  39963     22.7    21.5    82      82      3       0       18      4       79      
day2_silver_0093.jpg  40038     22.2    21.0    83      83      3       0       18      4       79      
day2_silver_0094.jpg  39762     22.3    21.2    84      83      3       0       18      4       80      
day2_silver_0095.jpg  39022     22.0    20.8    92      82      3       0       19      4       79      
day2_silver_0096.jpg  39099     22.3    21.1    86      81      3       0       18      4       78      
day2_silver_0097.jpg  38917     22.5    21.4    89      81      3       0       30      4       78      
day2_silver_0098.jpg  38670     21.9    20.8    37      46      3       0       19      4       78      
day2_silver_0099.jpg  38705     22.0    20.9    69      74      3       0       19      4       78      
day2_silver_0100.jpg  39120     22.5    21.2    104     97      5       0       11      4       79      
day2_silver_0101.jpg  38959     21.6    20.4    105     99      6       0       13      4       79      
day2_silver_0102.jpg  38870     22.5    21.3    83      95      6       0       20      4       79      
day2_silver_0103.jpg  38895     22.5    21.3    82      95      5       0       21      4       78      
day2_silver_0104.jpg  39043     21.9    20.7    91      97      5       0       21      4       78      
day2_silver_0105.jpg  38930     21.9    20.7    90      95      5       0       21      4       79      
day2_silver_0106.jpg  39482     22.4    21.2    98      95      5       0       21      4       79      
day2_silver_0107.jpg  39611     22.3    21.0    97      97      5       0       21      4       81      
day2_silver_0108.jpg  39017     22.2    21.0    94      97      5       0       21      4       80      
day2_silver_0109.jpg  39628     23.0    21.8    82      92      3       0       18      4       78      
day2_silver_0110.jpg  38782     22.7    21.5    51      74      1       0       16      4       79      
day2_silver_0111.jpg  39708     22.3    21.0    143     140     1       0       14      4       79      
day2_silver_0112.jpg  38115     22.3    20.9    141     140     1       0       13      4       69      
day2_silver_0113.jpg  39256     23.1    21.8    163     100     2       0       15      4       73      
day2_silver_0114.jpg  38782     21.2    20.0    99      70      3       0       23      4       77      
day2_silver_0115.jpg  38854     21.5    20.3    106     70      3       0       25      4       77      
