Frame                 Size      Luma    C_B     RedPx   Teal    Blue    Gold    BotR    BotC    WhtAnn  
day2_near_0083.jpg    50397     24.4    23.6    56      47      4       5       13      5       75      
day2_near_0084.jpg    48190     23.5    22.7    63      49      3       6       5       6       76      
day2_near_0085.jpg    48080     23.1    22.3    60      46      4       6       5       6       75      
day2_near_0086.jpg    49470     25.7    24.6    50      80      5       1       11      5       75      
day2_near_0087.jpg    49665     25.3    24.5    44      83      8       1       11      5       75      
day2_near_0088.jpg    50293     26.0    25.3    44      87      8       1       11      5       75      
day2_near_0089.jpg    50740     25.8    25.0    47      85      8       1       11      5       75      
day2_near_0090.jpg    50378     26.3    25.8    46      83      8       1       11      5       75      
day2_near_0091.jpg    50245     26.3    25.9    46      97      8       1       10      5       75      
day2_near_0092.jpg    50227     26.5    26.1    53      88      8       1       10      5       75      
day2_near_0093.jpg    48756     24.0    23.3    37      56      5       1       10      5       75      
day2_near_0094.jpg    50390     27.4    26.3    55      92      5       1       10      5       75      
day2_near_0095.jpg    51216     26.7    26.3    50      94      9       1       10      5       75      
day2_near_0096.jpg    48010     24.4    23.7    37      55      5       1       10      5       75      
day2_near_0097.jpg    47987     24.4    23.7    36      50      5       1       10      5       75      
day2_near_0098.jpg    50509     26.5    26.1    60      87      9       1       10      5       75      
day2_near_0099.jpg    50147     26.4    26.0    61      115     9       1       10      5       75      
day2_near_0100.jpg    50182     26.4    26.0    61      90      9       1       10      5       75      
day2_near_0101.jpg    51367     26.6    26.2    61      94      9       1       10      5       75      
day2_near_0102.jpg    47900     24.2    23.5    36      56      7       1       8       4       72      
day2_near_0103.jpg    47954     24.1    23.4    37      55      7       1       8       4       72      
day2_near_0104.jpg    48139     24.7    24.1    47      72      7       1       6       4       72      
day2_near_0105.jpg    49476     26.2    25.5    79      85      6       1       14      7       72      
day2_near_0106.jpg    49343     26.5    25.8    52      80      5       1       13      4       72      
day2_near_0107.jpg    50595     25.7    25.1    75      99      6       5       9       5       72      
day2_near_0108.jpg    49120     25.5    24.9    79      102     6       5       9       5       72      
day2_near_0109.jpg    49287     27.6    27.3    33      66      9       2       10      3       72      
day2_near_0110.jpg    52244     27.2    26.6    64      36      8       3       8       3       72      
day2_near_0111.jpg    53818     26.8    26.3    54      25      8       3       12      3       72      
day2_near_0112.jpg    51954     26.2    25.8    44      22      5       6       9       4       75      
day2_near_0113.jpg    50712     27.1    26.8    52      26      7       3       11      4       75      
day2_near_0114.jpg    50218     27.3    27.0    48      23      6       3       9       4       74      
day2_near_0115.jpg    48414     28.3    28.2    41      25      10      3       10      4       75      
day2_near_0116.jpg    50229     27.4    27.2    24      19      10      3       7       4       75      
day2_near_0117.jpg    48466     28.9    28.8    30      19      4       6       4       4       75      
day2_near_0118.jpg    47737     29.6    29.5    29      19      3       5       3       4       75      
day2_near_0119.jpg    48279     30.1    29.7    57      90      5       6       4       4       75      
day2_near_0120.jpg    48050     30.7    30.3    58      90      4       6       4       4       75      
day2_near_0121.jpg    47922     30.0    29.7    59      90      4       6       4       4       75      
day2_near_0122.jpg    48093     27.9    27.6    61      94      4       6       4       4       75      
day2_near_0123.jpg    48333     26.4    26.0    37      90      6       6       4       4       75      
