Frame                 Luma    Size      C_B     RedPx   Teal    Blue    Gold    Purple  BotR    BotC    WhtAnn  
day3_63700_0077.jpg   21.6    42062     20.6    51      76      2       1       0       9       13      75      
day3_63700_0078.jpg   21.6    40165     20.6    51      76      2       1       0       10      13      73      
day3_63700_0079.jpg   22.1    42830     21.1    50      76      2       1       0       10      13      74      
day3_63700_0080.jpg   22.9    41897     21.9    48      75      2       1       0       10      13      72      
day3_63700_0081.jpg   23.4    41900     22.3    56      72      2       1       0       5       10      72      
day3_63700_0082.jpg   22.9    41865     21.9    56      72      2       1       0       5       10      72      
day3_63700_0083.jpg   25.2    46062     24.0    66      154     2       1       0       5       10      72      
day3_63700_0084.jpg   23.1    43474     21.9    60      75      2       1       0       5       10      72      
day3_63700_0085.jpg   25.3    44581     24.1    61      150     2       1       0       5       10      73      
day3_63700_0086.jpg   23.6    42619     22.4    54      75      2       1       0       5       10      73      
day3_63700_0087.jpg   23.1    40855     22.0    55      75      2       0       0       6       10      71      
day3_63700_0088.jpg   21.2    36176     20.1    103     0       0       0       0       22      4       69      
day3_63700_0089.jpg   22.6    41629     21.4    28      58      3       0       1       5       9       74      
day3_63700_0090.jpg   24.3    43638     23.2    32      142     2       0       1       5       9       73      
day3_63700_0091.jpg   24.7    43469     23.6    30      141     3       0       1       5       10      72      
day3_63700_0092.jpg   26.0    44082     25.0    31      135     3       0       1       5       10      71      
day3_63700_0093.jpg   25.3    44104     24.4    33      134     3       0       1       5       10      72      
day3_63700_0094.jpg   25.4    45165     24.5    37      135     3       0       2       5       10      72      
day3_63700_0095.jpg   22.8    41434     21.8    32      58      3       0       1       5       10      71      
day3_63700_0096.jpg   23.0    41526     22.0    32      59      3       0       1       4       10      71      
day3_63700_0097.jpg   24.4    43524     23.5    40      135     3       0       1       5       10      71      
day3_63700_0098.jpg   25.2    43707     24.2    42      134     3       0       1       5       10      72      
day3_63700_0099.jpg   25.3    44807     24.3    47      135     4       0       1       5       10      73      
day3_63700_0100.jpg   25.7    44797     24.7    49      136     4       0       1       5       10      72      
day3_63700_0101.jpg   25.7    43898     24.9    59      141     4       1       1       8       9       72      
day3_63700_0102.jpg   24.1    44045     23.2    89      139     4       1       1       8       9       72      
day3_63700_0103.jpg   24.1    44045     23.2    89      139     4       1       1       8       9       72      
day3_63700_0104.jpg   24.1    44018     23.2    89      140     4       1       1       8       9       72      
day3_63700_0105.jpg   24.1    44018     23.2    89      140     4       1       1       8       9       72      
day3_63700_0106.jpg   24.1    44057     23.2    89      139     4       1       1       8       9       72      
day3_63700_0107.jpg   24.1    44057     23.2    89      139     4       1       1       8       9       72      
day3_63700_0108.jpg   24.1    44036     23.2    89      139     4       1       1       8       9       72      
day3_63700_0109.jpg   24.1    44036     23.2    89      139     4       1       1       8       9       72      
day3_63700_0110.jpg   24.1    44036     23.2    89      139     4       1       1       8       9       72      
day3_63700_0111.jpg   24.6    43878     23.7    48      138     3       1       2       7       9       70      
day3_63700_0112.jpg   24.5    44014     23.6    71      139     3       1       2       7       9       70      
day3_63700_0113.jpg   24.5    44002     23.6    70      139     3       1       2       7       9       70      
day3_63700_0114.jpg   24.4    44226     23.5    42      140     3       1       2       7       9       72      
day3_63700_0115.jpg   24.5    43993     23.6    44      143     3       1       2       7       9       70      
day3_63700_0116.jpg   26.1    44095     25.1    42      143     3       1       2       7       9       70      
day3_63700_0117.jpg   26.1    44095     25.1    42      143     3       1       2       7       9       70      
day3_63700_0118.jpg   26.1    44096     25.1    42      143     3       1       2       7       9       70      
day3_63700_0119.jpg   26.1    44096     25.1    42      143     3       1       2       7       9       70      
day3_63700_0120.jpg   26.1    44077     25.1    42      144     3       1       2       7       9       70      
day3_63700_0121.jpg   24.8    43935     23.8    69      143     3       1       2       7       9       71      
day3_63700_0122.jpg   24.6    44056     23.6    47      141     3       1       2       7       9       69      
day3_63700_0123.jpg   26.1    44078     25.1    46      141     3       1       2       7       9       71      
day3_63700_0124.jpg   24.8    44000     23.9    73      139     3       1       2       7       9       72      
day3_63700_0125.jpg   24.5    44138     23.6    43      140     3       1       2       7       9       70      
day3_63700_0126.jpg   25.7    44054     24.7    46      138     3       1       2       7       9       69      
day3_63700_0127.jpg   24.6    44062     23.6    45      140     3       1       2       7       9       71      
day3_63700_0128.jpg   24.4    45294     23.5    44      140     3       1       1       7       9       70      
day3_63700_0129.jpg   24.1    43808     23.1    43      139     3       1       1       7       9       71      
day3_63700_0130.jpg   24.7    44855     23.7    43      138     4       1       1       7       9       71      
day3_63700_0131.jpg   25.0    44588     24.0    39      137     4       1       1       7       9       73      
day3_63700_0132.jpg   24.6    44148     23.7    39      152     4       1       1       7       9       73      
day3_63700_0133.jpg   24.6    44336     23.6    39      146     4       1       1       7       11      74      
